date,close,nh,nl,nhl,cnhl,cnhl_ma20,hl_ratio,hl_ratio_ma10,ratio_cross_50,ratio_cross_30
2024-06-19,3018.05,76,469,-393,-393,,0.13944954128440368,,False,False
2024-06-20,3005.44,76,1081,-1005,-1398,,0.06568712186689715,,False,False
2024-06-21,2998.14,69,708,-639,-2037,,0.0888030888030888,0.09797991731812988,False,False
2024-06-24,2963.1,39,2168,-2129,-4166,,0.017671046669687357,0.07790269965601924,False,False
2024-06-25,2950.0,30,1036,-1006,-5172,-2633.2,0.028142589118198873,0.06795067754845517,False,False
2024-06-26,2972.53,44,74,-30,-5202,-3061.3333333333335,0.3728813559322034,0.11877245727907988,False,False
2024-06-27,2945.85,36,564,-528,-5730,-3442.5714285714284,0.06,0.11037639195349704,False,False
2024-06-28,2967.4,85,496,-411,-6141,-3779.875,0.14629948364888123,0.11486677841542006,False,False
2024-07-01,2994.73,97,250,-153,-6294,-4059.222222222222,0.27953890489913547,0.13316368135805512,False,False
2024-07-02,2997.01,78,401,-323,-6617,-4315.0,0.162839248434238,0.1361312380656734,False,False
2024-07-03,2982.38,43,542,-499,-7116,-4569.636363636364,0.0735042735042735,0.12953671128766037,False,False
2024-07-04,2957.57,28,1474,-1446,-8562,-4902.333333333333,0.018641810918774968,0.12483218019284817,False,False
2024-07-05,2949.93,39,337,-298,-8860,-5206.7692307692305,0.10372340425531915,0.1263242117380712,False,False
2024-07-08,2922.45,47,2082,-2035,-10895,-5613.071428571428,0.02207609206200094,0.12676471627730254,False,False
2024-07-09,2959.37,123,490,-367,-11262,-5989.666666666667,0.200652528548124,0.14401571022029508,False,False
2024-07-10,2939.36,68,1032,-964,-12226,-6379.4375,0.06181818181818182,0.1129093928088929,False,False
2024-07-11,2970.39,119,61,58,-12168,-6719.941176470588,0.6611111111111111,0.173020503920004,False,False
2024-07-12,2971.3,77,123,-46,-12214,-7025.166666666667,0.385,0.1968905555551159,False,False
2024-07-15,2974.01,65,420,-355,-12569,-7316.9473684210525,0.13402061855670103,0.18233872692087244,False,False
2024-07-16,2976.3,104,475,-371,-12940,-7598.1,0.17962003454231434,0.1840168055316801,False,False
2024-07-17,2962.85,46,855,-809,-13749,-8265.9,0.051054384017758046,0.18177181658302854,False,False
2024-07-18,2977.13,66,831,-765,-14514,-8921.7,0.07357859531772576,0.1872654950229236,False,False
2024-07-19,2982.31,68,336,-268,-14782,-9558.95,0.16831683168316833,0.19372483776570854,False,False
2024-07-22,2964.22,58,355,-297,-15079,-10104.6,0.14043583535108958,0.20556081209461743,False,False
2024-07-23,2915.37,37,1353,-1316,-16395,-10665.75,0.026618705035971222,0.18815742974340213,False,False
2024-07-24,2901.95,47,2166,-2119,-18514,-11331.35,0.021238138273836422,0.1840994253889676,False,False
2024-07-25,2886.74,44,738,-694,-19208,-12005.25,0.056265984654731455,0.12361491274332963,False,False
2024-07-26,2890.9,44,93,-49,-19257,-12661.05,0.32116788321167883,0.1172317010644975,False,False
2024-07-29,2891.85,69,370,-301,-19558,-13324.25,0.1571753986332574,0.11954717907215313,False,False
2024-07-30,2879.3,66,305,-239,-19797,-13983.25,0.1778975741239892,0.11937493303032061,False,False
2024-07-31,2938.75,90,9,81,-19716,-14613.25,0.9090909090909091,0.2051785855376357,False,False
2024-08-01,2932.39,107,36,71,-19645,-15167.4,0.7482517482517482,0.27264590083103796,False,False
2024-08-02,2905.34,64,106,-42,-19687,-15708.75,0.3764705882352941,0.29346127648625053,False,False
2024-08-05,2860.7,38,615,-577,-20264,-16177.2,0.05819295558958652,0.2852369885101002,False,False
2024-08-06,2867.28,63,68,-5,-20269,-16627.55,0.48091603053435117,0.3306667210599382,False,True
2024-08-07,2869.83,55,98,-43,-20312,-17031.85,0.35947712418300654,0.3644906196508553,False,False
2024-08-08,2869.9,55,182,-127,-20439,-17445.4,0.2320675105485232,0.38207077224023445,False,False
2024-08-09,2862.19,39,283,-244,-20683,-17868.85,0.12111801242236025,0.36206578516130256,False,False
