date,close_60,dif_60,dea_60,bar_60,bd_60,td_60,top_form_60,bottom_form_60,cross_up_60,cross_down_60,cross_count_x,close_90,dif_90,dea_90,bar_90,bd_90,td_90,top_form_90,bottom_form_90,cross_up_90,cross_down_90,cross_count_y,close_120,dif_120,dea_120,bar_120,bd_120,td_120,top_form_120,bottom_form_120,cross_up_120,cross_down_120,cross_count,top_resonance,bot_resonance,golden_cross_res,dead_cross_res,signal_level
2024-07-08,692.488,-0.1778064516129234,-0.07112258064516937,-0.2133677419355081,0,0,0,0,0,1,0,,,,,,,,,,,,692.488,-0.1778064516129234,-0.07112258064516937,-0.2133677419355081,0,0,0,0,0,1,0,0.0,0.0,0.0,2.0,无结构
2024-07-09,709.888,9.453649437554645,5.817745381887891,7.27180811133351,0,0,0,0,1,0,1,,,,,,,,,,,,709.888,9.4849602412678,5.926489130644914,7.116942221245772,0,0,0,0,1,0,1,0.0,0.0,2.0,0.0,无结构
2024-07-10,710.369,10.824869072071351,10.670956346157222,0.3078254518282577,0,0,0,0,0,0,0,,,,,,,,,,,,710.369,10.975538540398475,9.993368555121474,1.9643399705540006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-07-11,718.04,13.175632278637863,13.04146923460471,0.2683260880663063,0,0,0,0,0,0,0,,,,,,,,,,,,718.04,13.950181250097103,12.798787861094198,2.30278677800581,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-07-12,718.37,10.913399412650165,11.25149135533122,-0.6761838853621107,0,0,0,0,0,1,0,,,,,,,,,,,,718.37,13.016399901149725,13.016872112769887,-0.0009444232403232888,0,0,0,0,1,1,1,0.0,0.0,1.0,2.0,无结构
2024-07-15,715.864,7.223291258525478,8.200820640952172,-1.955058764853387,0,0,0,0,0,0,0,,,,,,,,,,,,715.864,9.721010631183503,10.997414444517455,-2.552807626667903,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-07-16,732.064,14.063951825921094,11.425513016514776,5.276877618812637,0,1,0,0,1,0,1,,,,,,,,,,,,732.064,16.231550388681512,13.90602243474398,4.651055907875065,0,0,0,0,1,0,1,0.0,0.0,2.0,0.0,无结构
2024-07-17,729.002,13.15539325557063,13.840127659420308,-1.3694688076993558,0,0,1,0,0,1,0,,,,,,,,,,,,729.002,15.449707443997454,15.69886045205417,-0.49830601611343184,0,0,0,0,0,1,0,1.0,0.0,0.0,2.0,B级·单周期结构
2024-07-18,735.41,12.17477186662461,11.442140229207958,1.4652632748333048,0,1,0,0,1,0,1,,,,,,,,,,,,735.41,15.385614107183983,15.099558269611686,0.572111675144594,0,1,0,0,1,0,1,0.0,0.0,2.0,0.0,无结构
2024-07-19,749.471,19.284838247514244,17.37188541037002,3.8259056742884496,0,1,0,0,0,0,0,,,,,,,,,,,,749.471,21.896741637388686,19.839930814381987,4.113621646013399,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-07-22,752.001,17.93397497075614,18.413906812581807,-0.959863683651335,0,0,1,0,0,1,0,,,,,,,,,,,,752.001,21.246110160272792,21.18489253705006,0.12243524644546255,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,B级·单周期结构
2024-07-23,721.108,-1.080015035642532,5.2663783828188535,-12.692786836922771,0,0,0,0,0,0,0,,,,,,,,,,,,721.108,3.424104236340554,10.480556629590035,-14.112904786498962,0,0,1,0,0,1,0,1.0,0.0,0.0,1.0,B级·单周期结构
2024-07-24,713.321,-10.372154209386167,-6.732955254729536,-7.278397909313263,0,0,0,0,0,0,0,,,,,,,,,,,,713.321,-6.993888554832438,-1.5407798484380215,-10.906217412788832,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-07-25,713.883,-9.564044726111433,-9.175024287642906,-0.7780408769370553,0,0,0,0,0,0,0,,,,,,,,,,,,713.883,-7.828778682345501,-5.887661474281728,-3.8822344161275453,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-07-26,719.87,-5.325467001496122,-6.95857351548854,3.2662130279848363,0,0,0,0,1,0,1,,,,,,,,,,,,719.87,-4.718375354177624,-5.3907809150017325,1.3448111216482168,0,0,0,1,1,0,1,0.0,1.0,2.0,0.0,B级·单周期结构
2024-07-29,707.597,-9.05230613848687,-7.433151234785117,-3.238309807403505,1,0,0,0,0,1,0,,,,,,,,,,,,707.597,-9.16705639696022,-7.240020055175476,-3.8540726835694876,0,0,0,0,0,1,0,0.0,0.0,0.0,2.0,无结构
2024-07-30,710.015,-9.596599694463862,-10.065260197364541,0.9373210058013584,1,0,0,1,1,0,1,,,,,,,,,,,,710.015,-10.022752106507482,-9.743143911727405,-0.5592163895601558,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,B级·单周期结构
2024-07-31,743.374,13.524978514164104,7.021593273693266,13.006770480941677,0,0,0,0,0,0,0,,,,,,,,,,,,743.374,11.54388252605986,4.230451709044339,14.626861634031043,0,0,0,0,1,0,1,0.0,0.0,1.0,0.0,无结构
2024-08-01,738.871,12.89850855046268,12.51395387556986,0.7691093497856407,0,0,0,0,0,0,0,,,,,,,,,,,,738.871,12.788396640975975,10.995585186024714,3.585622909902522,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-08-02,725.66,2.1860671468655255,5.593045165976914,-6.813956038222777,0,0,0,0,0,1,0,,,,,,,,,,,,725.66,3.3489178813689477,6.562622511905969,-6.427409261074043,0,0,0,0,0,1,0,0.0,0.0,0.0,2.0,无结构
2024-08-05,704.296,-12.090946754321067,-6.857884094057625,-10.466125320526883,0,0,0,0,0,0,0,,,,,,,,,,,,704.296,-10.819850747106216,-4.493394142646155,-12.652913208920122,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-08-06,713.864,-9.716104114732389,-10.377653827707036,1.3230994259492945,0,0,0,0,1,0,1,,,,,,,,,,,,713.864,-9.963648832176773,-9.495495688686963,-0.9363062869796188,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,无结构
2024-08-07,707.587,-8.297364280510465,-8.36879532491243,0.14286208880393048,0,0,0,0,0,0,0,,,,,,,,,,,,707.587,-9.294227996422137,-9.167957157931323,-0.2525416769816289,0,0,0,0,1,1,1,0.0,0.0,1.0,1.0,无结构
2024-08-08,708.923,-6.227995856217262,-6.856084626987976,1.2561775415414278,1,0,0,1,1,1,1,,,,,,,,,,,,708.923,-7.253450032338947,-7.555795720611833,0.6046913765457731,1,0,0,1,1,0,1,0.0,2.0,2.0,1.0,A级·双周期共振
