date,close_60,dif_60,dea_60,bar_60,bd_60,td_60,top_form_60,bottom_form_60,cross_up_60,cross_down_60,cross_count_x,close_90,dif_90,dea_90,bar_90,bd_90,td_90,top_form_90,bottom_form_90,cross_up_90,cross_down_90,cross_count_y,close_120,dif_120,dea_120,bar_120,bd_120,td_120,top_form_120,bottom_form_120,cross_up_120,cross_down_120,cross_count,top_resonance,bot_resonance,golden_cross_res,dead_cross_res,signal_level
2024-07-08,2922.45,-0.9718967741937377,-0.3887587096774951,-1.166276129032485,0,0,0,0,0,1,0,,,,,,,,,,,,2922.45,-0.9718967741937377,-0.3887587096774951,-1.166276129032485,0,0,0,0,0,1,0,0.0,0.0,0.0,2.0,无结构
2024-07-09,2959.372,15.920040900425647,7.062559096628692,17.71496360759391,0,0,0,0,1,0,1,,,,,,,,,,,,2959.372,16.388707143814372,8.448075334254739,15.881263619119267,0,0,0,0,1,0,1,0.0,0.0,2.0,0.0,无结构
2024-07-10,2939.364,10.89680980482126,12.779307399105473,-3.7649951885684274,0,0,0,0,0,1,0,,,,,,,,,,,,2939.364,10.947028582292205,11.876311273824694,-1.8585653830649775,0,0,0,0,0,1,0,0.0,0.0,0.0,2.0,无结构
2024-07-11,2970.387,24.134411438303232,20.85114174437389,6.566539387858683,0,0,0,0,1,0,1,,,,,,,,,,,,2970.387,24.495696921280796,19.92416931660253,9.143055209356532,0,0,0,0,1,0,1,0.0,0.0,2.0,0.0,无结构
2024-07-12,2971.295,22.77079129258891,22.757853304957806,0.02587597526220975,0,0,0,0,1,1,1,,,,,,,,,,,,2971.295,25.244313055787643,23.935186873849094,2.6182523638770974,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,无结构
2024-07-15,2974.011,19.54137254361558,20.333465104780846,-1.5841851223305312,0,1,0,0,0,1,0,,,,,,,,,,,,2974.011,23.404397547329154,23.993992235592728,-1.1791893765271482,0,0,0,0,0,1,0,0.0,0.0,0.0,2.0,无结构
2024-07-16,2976.304,15.306643944889402,15.464375140028558,-0.3154623902783129,0,1,0,0,0,0,0,,,,,,,,,,,,2976.304,19.74747999289093,20.604419326870406,-1.7138786679589515,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-07-17,2962.855,7.3746127001436435,9.790714024654315,-4.832202649021344,0,0,0,0,0,0,0,,,,,,,,,,,,2962.855,11.642234530390851,15.062476998290235,-6.8404849357987665,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-07-18,2977.133,8.477925287770177,5.642810250706519,5.670230074127314,0,1,0,0,1,0,1,,,,,,,,,,,,2977.133,12.549920525155812,11.741085313096384,1.617670424118856,0,1,0,0,1,0,1,0.0,0.0,2.0,0.0,无结构
2024-07-19,2982.309,11.557715976889995,8.840364513744326,5.434702926291337,0,1,1,0,1,1,1,,,,,,,,,,,,2982.309,14.388526658894534,12.915392618195956,2.9462680813971573,0,1,1,0,1,1,1,2.0,0.0,2.0,2.0,A级·双周期共振
