date,close_60,dif_60,dea_60,bar_60,bd_60,td_60,top_form_60,bottom_form_60,cross_up_60,cross_down_60,cross_count_x,close_90,dif_90,dea_90,bar_90,bd_90,td_90,top_form_90,bottom_form_90,cross_up_90,cross_down_90,cross_count_y,close_120,dif_120,dea_120,bar_120,bd_120,td_120,top_form_120,bottom_form_120,cross_up_120,cross_down_120,cross_count,top_resonance,bot_resonance,golden_cross_res,dead_cross_res,signal_level
2024-07-05,8695.548,-0.6733161290321732,-0.2693264516128693,-0.8079793548386078,0,0,0,0,0,1,0,,,,,,,,,,,,8695.548,-0.6733161290321732,-0.2693264516128693,-0.8079793548386078,0,0,0,0,0,1,0,0.0,0.0,0.0,2.0,无结构
2024-07-08,8561.95,-77.85426297657068,-53.94270540617479,-47.823115140791785,0,0,0,0,0,0,0,,,,,,,,,,,,8561.95,-75.56872574333829,-47.76885137833844,-55.5997487299997,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-07-09,8705.944,-6.086328408733607,-38.1155622764761,64.05846773548498,0,0,0,0,1,0,1,,,,,,,,,,,,8705.944,-9.681877769020502,-33.48862195063811,47.61348836323522,0,0,0,0,1,0,1,0.0,0.0,2.0,0.0,无结构
2024-07-10,8697.215,26.832504122745377,21.54784993564887,10.569308374193014,0,0,0,0,0,0,0,,,,,,,,,,,,8697.215,16.01261134649576,5.379186952404735,21.26684878818205,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-07-11,8870.356,123.41490451426398,101.60569947926982,43.61841006998833,0,0,0,0,0,0,0,,,,,,,,,,,,8870.356,114.71657011139541,80.07585738174603,69.28142545929876,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-07-12,8854.083,100.33468049328258,102.55047220814345,-4.431583429721741,0,0,0,0,1,1,1,,,,,,,,,,,,8854.083,109.57555599676198,103.91322096542493,11.324670062674102,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,无结构
2024-07-15,8801.624,46.9190942679561,60.75706668498465,-27.675944834057105,0,0,0,0,0,0,0,,,,,,,,,,,,8801.624,63.31618059345419,79.25511602310482,-31.877870859301254,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,无结构
2024-07-16,8877.018,68.60228501026359,58.83398528517,19.53659945018717,0,0,0,0,1,0,1,,,,,,,,,,,,8877.018,81.51844609413456,75.79314401585152,11.450604156566072,0,0,0,0,1,0,1,0.0,0.0,2.0,0.0,无结构
2024-07-17,8835.144,52.750566850430914,58.73940479745262,-11.977675894043415,0,0,0,0,0,1,0,,,,,,,,,,,,8835.144,66.14383480093238,73.60841412148386,-14.929158641102958,0,0,0,0,0,1,0,0.0,0.0,0.0,2.0,无结构
2024-07-18,8879.326,45.312786092859824,37.06496043536471,16.495651314990226,0,0,0,0,1,0,1,,,,,,,,,,,,8879.326,61.664110364241424,60.627664645007826,2.0728914384671953,0,0,0,0,1,0,1,0.0,0.0,2.0,0.0,无结构
2024-07-19,8903.232,64.2703381166757,57.74007606549572,13.060524102359963,0,1,0,0,0,0,0,,,,,,,,,,,,8903.232,74.4987237894693,70.87999105174183,7.23746547545494,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-07-22,8869.817,31.095612285986135,39.77309850809084,-17.35497244420941,0,0,1,0,0,1,0,,,,,,,,,,,,8869.817,42.67310631334658,52.793590517061105,-20.24096840742905,0,0,1,0,0,1,0,2.0,0.0,0.0,2.0,A级·双周期共振
2024-07-23,8606.583,-106.60434794787943,-58.561684688918305,-96.08532651792225,0,0,0,0,0,0,0,,,,,,,,,,,,8606.583,-92.42489435927018,-35.96776485513661,-112.91425900826715,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-07-24,8493.095,-195.57931489622024,-165.33601343767762,-60.486602917085236,0,0,0,0,0,0,0,,,,,,,,,,,,8493.095,-190.4133683501277,-141.97289429905334,-96.88094810214875,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-07-25,8474.704,-190.65706426699398,-192.77477373356777,4.235418933147571,0,0,0,0,1,0,1,,,,,,,,,,,,8474.704,-202.98854859901257,-188.7568719838993,-28.463353230226573,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,无结构
2024-07-26,8597.174,-82.65505719613611,-115.74999932980606,66.18988426733989,0,0,0,0,0,0,0,,,,,,,,,,,,8597.174,-111.4777730110327,-141.16444908870758,59.37335215534978,0,0,0,0,1,0,1,0.0,0.0,1.0,0.0,无结构
2024-07-29,8514.648,-96.78487681562547,-97.53812588637015,1.5064981414893737,0,0,0,0,0,0,0,,,,,,,,,,,,8514.648,-123.14051637649209,-125.84275748825775,5.404482223531318,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-07-30,8468.582,-118.5762877093839,-120.41399291016234,3.67541040155686,1,0,0,1,1,1,1,,,,,,,,,,,,8468.582,-143.51606883051863,-140.90553400742985,-5.221069646177568,1,0,0,0,0,1,0,0.0,1.0,1.0,2.0,B级·单周期结构
2024-07-31,8754.087,84.01337622164283,27.709701773106833,112.607348897072,0,0,0,0,0,0,0,,,,,,,,,,,,8754.087,46.22532521116227,-17.46097470450392,127.37259983133238,0,0,0,1,1,0,1,0.0,1.0,1.0,0.0,B级·单周期结构
2024-08-01,8673.578,57.798683612705645,60.51700023921167,-5.436633253012047,0,1,1,0,0,1,0,,,,,,,,,,,,8673.578,37.80052093688755,28.24472415318848,19.111593567398145,0,1,0,0,0,0,0,1.0,0.0,0.0,1.0,B级·单周期结构
2024-08-02,8553.551,-28.985955309781275,0.30544292351549274,-58.582796466593535,0,0,0,0,0,0,0,,,,,,,,,,,,8553.551,-38.35676462906849,-10.758458826386299,-55.19661160536439,0,0,1,0,0,1,0,1.0,0.0,0.0,1.0,B级·单周期结构
2024-08-05,8395.054,-122.3597807723072,-79.21931450420168,-86.28093253621105,1,0,0,0,0,0,0,,,,,,,,,,,,8395.054,-132.2123202074563,-83.8828305485962,-96.65897931772017,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,无结构
2024-08-06,8463.864,-110.57939774174702,-113.62160231583856,6.084409148183084,0,0,0,1,1,0,1,,,,,,,,,,,,8463.864,-127.66006235092027,-124.08852757134154,-7.143069559157453,1,0,0,0,0,0,0,0.0,1.0,1.0,0.0,B级·单周期结构
