index_name,date,period,seq_type,seq_value
上证指数,2018-01-11,日线,高9,8
上证指数,2018-01-12,日线,高9,9
上证指数,2018-01-25,日线,高9,8
上证指数,2018-01-26,日线,高9,9
上证指数,2018-02-07,日线,低9,8
上证指数,2018-02-08,日线,低9,9
上证指数,2018-02-09,日线,低9,10
上证指数,2018-02-12,日线,低9,11
上证指数,2018-02-13,日线,低9,12
上证指数,2018-02-14,日线,低9,13
上证指数,2018-03-26,日线,低9,8
上证指数,2018-03-27,日线,低9,9
上证指数,2018-03-28,日线,低9,10
上证指数,2018-05-15,日线,高9,8
上证指数,2018-06-04,日线,低9,8
上证指数,2018-06-20,日线,低9,8
上证指数,2018-06-21,日线,低9,9
上证指数,2018-06-22,日线,低9,10
上证指数,2018-06-25,日线,低9,11
上证指数,2018-06-26,日线,低9,12
上证指数,2018-06-27,日线,低9,13
上证指数,2018-06-28,日线,低9,14
上证指数,2018-06-29,日线,低9,15
上证指数,2018-07-02,日线,低9,16
上证指数,2018-07-03,日线,低9,17
上证指数,2018-07-04,日线,低9,18
上证指数,2018-07-05,日线,低9,19
上证指数,2018-07-06,日线,低9,20
上证指数,2018-08-08,日线,低9,8
上证指数,2018-08-30,日线,高9,8
上证指数,2018-09-11,日线,低9,8
上证指数,2018-09-12,日线,低9,9
上证指数,2018-09-13,日线,低9,10
上证指数,2018-09-28,日线,高9,8
上证指数,2018-10-17,日线,低9,8
上证指数,2018-10-18,日线,低9,9
上证指数,2018-10-19,日线,低9,10
上证指数,2018-12-27,日线,低9,8
上证指数,2018-12-28,日线,低9,9
上证指数,2019-01-02,日线,低9,10
上证指数,2019-01-03,日线,低9,11
上证指数,2019-01-15,日线,高9,8
上证指数,2019-01-16,日线,高9,9
上证指数,2019-01-17,日线,高9,10
上证指数,2019-01-18,日线,高9,11
上证指数,2019-01-21,日线,高9,12
上证指数,2019-01-22,日线,高9,13
上证指数,2019-01-23,日线,高9,14
上证指数,2019-02-19,日线,高9,8
上证指数,2019-02-20,日线,高9,9
上证指数,2019-02-21,日线,高9,10
上证指数,2019-02-22,日线,高9,11
上证指数,2019-02-25,日线,高9,12
上证指数,2019-02-26,日线,高9,13
上证指数,2019-02-27,日线,高9,14
上证指数,2019-02-28,日线,高9,15
上证指数,2019-03-01,日线,高9,16
上证指数,2019-03-04,日线,高9,17
上证指数,2019-03-05,日线,高9,18
上证指数,2019-03-06,日线,高9,19
上证指数,2019-03-07,日线,高9,20
上证指数,2019-04-10,日线,高9,8
上证指数,2019-05-06,日线,低9,8
上证指数,2019-05-07,日线,低9,9
上证指数,2019-05-08,日线,低9,10
上证指数,2019-05-09,日线,低9,11
上证指数,2019-08-09,日线,低9,8
上证指数,2019-08-21,日线,高9,8
上证指数,2019-08-22,日线,高9,9
上证指数,2019-08-23,日线,高9,10
上证指数,2019-09-10,日线,高9,8
上证指数,2019-09-11,日线,高9,9
上证指数,2019-09-12,日线,高9,10
上证指数,2019-09-16,日线,高9,11
上证指数,2019-09-26,日线,低9,8
上证指数,2019-09-27,日线,低9,9
上证指数,2019-09-30,日线,低9,10
上证指数,2019-10-08,日线,低9,11
上证指数,2019-10-09,日线,低9,12
上证指数,2019-12-16,日线,高9,8
上证指数,2019-12-17,日线,高9,9
上证指数,2019-12-18,日线,高9,10
上证指数,2019-12-19,日线,高9,11
上证指数,2019-12-20,日线,高9,12
上证指数,2020-01-07,日线,高9,8
上证指数,2020-02-03,日线,低9,8
上证指数,2020-02-04,日线,低9,9
上证指数,2020-02-05,日线,低9,10
上证指数,2020-02-06,日线,低9,11
上证指数,2020-02-18,日线,高9,8
上证指数,2020-02-19,日线,高9,9
上证指数,2020-02-20,日线,高9,10
上证指数,2020-02-21,日线,高9,11
上证指数,2020-02-24,日线,高9,12
上证指数,2020-02-25,日线,高9,13
上证指数,2020-03-18,日线,低9,8
上证指数,2020-03-19,日线,低9,9
上证指数,2020-03-20,日线,低9,10
上证指数,2020-03-23,日线,低9,11
上证指数,2020-03-24,日线,低9,12
上证指数,2020-06-08,日线,高9,8
上证指数,2020-06-09,日线,高9,9
上证指数,2020-06-10,日线,高9,10
上证指数,2020-07-09,日线,高9,8
上证指数,2020-07-10,日线,高9,9
上证指数,2020-07-13,日线,高9,10
上证指数,2020-07-14,日线,高9,11
上证指数,2020-09-14,日线,低9,8
上证指数,2020-10-27,日线,低9,8
上证指数,2020-10-28,日线,低9,9
上证指数,2020-10-29,日线,低9,10
上证指数,2020-10-30,日线,低9,11
上证指数,2020-11-02,日线,低9,12
上证指数,2020-11-12,日线,高9,8
上证指数,2020-12-16,日线,低9,8
上证指数,2021-01-11,日线,高9,8
上证指数,2021-01-12,日线,高9,9
上证指数,2021-01-13,日线,高9,10
上证指数,2021-03-04,日线,低9,8
上证指数,2021-03-05,日线,低9,9
上证指数,2021-03-08,日线,低9,10
上证指数,2021-03-09,日线,低9,11
上证指数,2021-03-10,日线,低9,12
上证指数,2021-03-11,日线,低9,13
上证指数,2021-04-08,日线,高9,8
上证指数,2021-09-01,日线,高9,8
上证指数,2021-09-02,日线,高9,9
上证指数,2021-09-03,日线,高9,10
上证指数,2021-09-06,日线,高9,11
上证指数,2021-09-07,日线,高9,12
上证指数,2021-09-08,日线,高9,13
上证指数,2021-09-09,日线,高9,14
上证指数,2021-09-10,日线,高9,15
上证指数,2021-09-13,日线,高9,16
上证指数,2021-11-05,日线,低9,8
上证指数,2021-11-08,日线,低9,9
上证指数,2021-12-13,日线,高9,8
上证指数,2021-12-14,日线,高9,9
上证指数,2022-02-08,日线,低9,8
上证指数,2022-03-15,日线,低9,8
上证指数,2022-03-16,日线,低9,9
上证指数,2022-03-17,日线,低9,10
上证指数,2022-05-23,日线,高9,8
上证指数,2022-06-09,日线,高9,8
上证指数,2022-06-10,日线,高9,9
