date,close_sz,close_sh,close_cyb,close_kc,regime_sz,regime_sh,regime_cyb,regime_kc,regime_hs300,regime_zz500,chop_sz,chop_sh,chop_cyb,chop_kc,resonance,strong_bull,strong_bear,cyb_kc_resonance,bs_sz,ts_sz,bs_sh,ts_sh,bs_cyb,ts_cyb,bs_kc,ts_kc,bd_sz,bd_sh,bd_cyb,bd_kc,bs_ok_sz,bs_ok_sh,bs_ok_cyb,bs_ok_kc,day_seq_sz,day_seq_sh,day_seq_cyb,day_seq_kc,month_win,week_win,osc_origin_sz,osc_origin_sh,verdict_sz,verdict_sh,verdict_cyb,verdict_kc,reason_sz,reason_sh,reason_cyb,reason_kc,verdict_main,verdict_tech,reason
2019-01-11,7474.009,2553.831,1261.56,,震荡,震荡,偏空,,震荡,震荡,47.5,50.3,53.6,,混合,False,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,,,,True,False,,,观望,观望,空仓,,震荡,震荡,趋势向下,,观望,观望,主板:五指数混合(0多0空) 科技:KC=观望→观望+双创混合(降档)
2019-01-14,7409.199,2535.765,1245.999,,偏空,偏空,偏空,,偏空,震荡,46.5,49.2,53.7,,强共振_下跌,False,True,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,,,,True,False,,,空仓,空仓,空仓,,趋势向下,趋势向下,趋势向下,,空仓,观望,主板:五指数强共振_下跌(0多4空) 科技:KC=观望→观望+双创混合(降档)
2019-01-15,7547.349,2570.345,1266.275,,震荡,震荡,震荡,,震荡,震荡,47.7,50.0,54.5,,混合,False,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,高9,高9,,,True,False,,,观望(偏空),观望(偏空),观望,,震荡+高9,震荡+高9,震荡,,观望,观望,主板:五指数混合(0多0空) 科技:KC=观望→观望+双创混合(降档)
2019-01-16,7540.45,2570.422,1267.305,,震荡,震荡,偏空,,偏空,震荡,42.4,45.7,51.7,,混合,False,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,高9,高9,,,True,False,,,观望(偏空),观望(偏空),空仓,,震荡+高9,震荡+高9,趋势向下,,观望,观望,主板:五指数混合(0多0空) 科技:KC=观望→观望+双创混合(降档)
2019-01-17,7470.355,2559.637,1251.414,,偏空,偏空,偏空,,偏空,偏空,42.2,43.8,51.5,,强共振_下跌,False,True,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,高9,,,True,False,,,空仓,空仓,空仓,,趋势向下,趋势向下,趋势向下,,空仓,观望,主板:五指数强共振_下跌(0多5空) 科技:KC=观望→观望+双创混合(降档)
2019-01-18,7581.389,2596.006,1269.505,,震荡,震荡,偏空,,震荡,震荡,40.3,38.8,49.5,,混合,False,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,高9,,,True,False,,,观望,观望(偏空),空仓,,震荡,震荡+高9,趋势向下,,观望,观望,主板:五指数混合(0多0空) 科技:KC=观望→观望+双创混合(降档)
2019-01-21,7626.235,2610.509,1274.789,,震荡,震荡,震荡,,偏多,震荡,35.1,33.9,49.4,,混合,False,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,高9,,,True,False,,,观望,观望(偏空),观望,,震荡 | CHOP<38.2关注,震荡+高9,震荡,,观望,观望,主板:五指数混合(0多0空) 科技:KC=观望→观望+双创混合(降档)
2019-01-22,7516.786,2579.704,1252.239,,震荡,震荡,偏空,,偏多,震荡,35.2,33.4,49.8,,混合,False,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,高9,,,True,False,,,观望,观望(偏空),空仓,,震荡 | CHOP<38.2关注,震荡+高9,趋势向下,,观望,观望,主板:五指数混合(0多0空) 科技:KC=观望→观望+双创混合(降档)
2019-01-23,7523.774,2581.004,1251.127,,震荡,震荡,偏空,,震荡,震荡,33.2,32.0,47.8,,混合,False,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,高9,,,True,False,,,观望,观望(偏空),空仓,,震荡,震荡+高9,趋势向下,,观望,观望,主板:五指数混合(0多0空) 科技:KC=观望→观望+双创混合(降档)
2019-01-24,7573.524,2591.694,1265.161,,震荡,偏多,震荡,,偏多,震荡,51.9,48.0,67.1,,混合,False,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,,,,True,False,,,观望,持股,观望,,震荡,趋势向上,震荡 | CHOP=67>61.8硬切换(趋势→震荡),,观望,观望,主板:五指数混合(0多0空) 科技:KC=观望→观望+双创混合(降档)
2019-01-25,7595.453,2601.723,1265.494,,震荡,偏多,震荡,,偏多,震荡,58.0,50.1,65.7,,混合,False,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,,,,True,False,,,观望,持股,观望,,震荡,趋势向上,震荡 | CHOP=66>61.8硬切换(趋势→震荡),,观望,观望,主板:五指数混合(0多0空) 科技:KC=观望→观望+双创混合(降档)
2019-01-28,7589.581,2596.977,1259.743,,偏多,偏多,偏空,,偏多,震荡,57.9,52.7,67.1,,偏共振_偏多,False,False,混合,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,0,,,,,True,False,,,持股,持股(警戒),观望,,趋势向上 | ⚠️CHOP=58(距61.8切换线仅3.9点),趋势+顶结构→警戒,震荡 | CHOP=67>61.8硬切换(趋势→震荡),,观望(偏多),观望,主板:五指数偏共振_偏多(3多1空) 科技:KC=观望→观望+双创混合(降档)
2019-01-29,7551.3,2594.254,1243.592,,偏多,偏多,震荡,,偏多,震荡,57.9,52.1,62.4,,偏共振_偏多,False,False,混合,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,,,,True,False,,,持股(警戒),持股(警戒),观望,,趋势+顶结构→警戒,趋势+顶结构→警戒,震荡 | CHOP=62>61.8硬切换(趋势→震荡),,观望(偏多),观望,主板:五指数偏共振_偏多(3多0空) 科技:KC=观望→观望+双创混合(降档)
2019-01-30,7470.472,2575.576,1230.819,,偏多,偏多,震荡,,偏多,震荡,58.8,52.8,62.8,,偏共振_偏多,False,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,,,,True,False,,,持股(警戒),持股(警戒),观望,,趋势+顶结构→警戒,趋势+顶结构→警戒,震荡 | CHOP=63>61.8硬切换(趋势→震荡),,观望(偏多),观望,主板:五指数偏共振_偏多(3多0空) 科技:KC=观望→观望+双创混合(降档)
2019-01-31,7479.215,2584.572,1227.988,,偏多,偏多,震荡,,偏多,震荡,59.7,54.0,58.3,,偏共振_偏多,False,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,,,,True,False,,,持股(警戒),持股(警戒),观望,,趋势+顶结构→警戒,趋势+顶结构→警戒,震荡,,观望(偏多),观望,主板:五指数偏共振_偏多(3多0空) 科技:KC=观望→观望+双创混合(降档)
2019-02-01,7683.997,2618.232,1271.275,,偏多,偏多,震荡,,上行趋势,震荡,62.4,55.0,61.3,,偏共振_偏多,False,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,,,,True,False,,,观望,持股(警戒),观望,,震荡 | CHOP=62>61.8硬切换(趋势→震荡),趋势+顶结构→警戒,震荡,,观望(偏多),观望,主板:五指数偏共振_偏多(3多0空) 科技:KC=观望→观望+双创混合(降档)
2019-02-11,7919.046,2653.896,1316.098,,上行趋势,上行趋势,震荡,,上行趋势,震荡,47.5,55.8,46.2,,偏共振_偏多,False,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,,,,True,False,,,持股(警戒),持股(警戒),观望,,趋势+顶结构→警戒,趋势+顶结构→警戒,震荡,,观望(偏多),观望,主板:五指数偏共振_偏多(3多0空) 科技:KC=观望→观望+双创混合(降档)
2019-02-12,8010.075,2671.894,1332.27,,上行趋势,上行趋势,震荡,,上行趋势,震荡,41.3,49.8,40.9,,偏共振_偏多,False,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,,,,True,False,,,持股(警戒),持股,观望,,趋势+顶结构→警戒,趋势向上,震荡,,观望(偏多),观望,主板:五指数偏共振_偏多(3多0空) 科技:KC=观望→观望+双创混合(降档)
2019-02-13,8171.207,2721.068,1357.666,,上行趋势,上行趋势,偏多,,上行趋势,上行趋势,34.2,39.2,34.5,,强共振_上升,True,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,,,,True,False,,,持股,持股,持股,,趋势向上,趋势向上,趋势向上,,持股,观望,主板:五指数强共振_上升(5多0空) 科技:KC=观望→观望+双创混合(降档)
2019-02-14,8219.961,2719.7,1361.938,,上行趋势,上行趋势,上行趋势,,上行趋势,上行趋势,31.1,37.2,32.6,,强共振_上升,True,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,,,,True,False,,,持股,持股,持股,,趋势向上,趋势向上,趋势向上,,持股,观望,主板:五指数强共振_上升(5多0空) 科技:KC=观望→观望+双创混合(降档)
2019-02-15,8125.635,2682.385,1357.836,,上行趋势,上行趋势,上行趋势,,上行趋势,偏多,31.5,38.6,32.0,,强共振_上升,True,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,,,,True,False,,,持股,持股,持股,,趋势向上,趋势向上,趋势向上,,持股,观望,主板:五指数强共振_上升(5多0空) 科技:KC=观望→观望+双创混合(降档)
2019-02-18,8446.918,2754.357,1413.6,,上行趋势,上行趋势,上行趋势,,上行趋势,上行趋势,27.4,36.1,25.7,,强共振_上升,True,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,,,,,True,False,,,持股,持股,持股,,趋势向上,趋势向上,趋势向上,,持股,观望,主板:五指数强共振_上升(5多0空) 科技:KC=观望→观望+双创混合(降档)
2019-02-19,8440.87,2755.646,1406.037,,上行趋势,上行趋势,上行趋势,,上行趋势,上行趋势,26.5,33.2,25.6,,强共振_上升,True,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,高9,高9,高9,,True,False,,,持股(警戒),持股(警戒),持股(警戒),,趋势+高9→警戒,趋势+高9→警戒,趋势+高9→警戒,,持股,观望,主板:五指数强共振_上升(5多0空) 科技:KC=观望→观望+双创混合(降档)
2019-02-20,8473.427,2761.219,1408.382,,上行趋势,上行趋势,上行趋势,,上行趋势,上行趋势,26.5,33.2,26.1,,强共振_上升,True,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,高9,高9,高9,,True,False,,,持股(警戒),持股(警戒),持股(警戒),,趋势+高9→警戒,趋势+高9→警戒,趋势+高9→警戒,,持股,观望,主板:五指数强共振_上升(5多0空) 科技:KC=观望→观望+双创混合(降档)
2019-02-21,8451.71,2751.801,1412.535,,上行趋势,上行趋势,上行趋势,,上行趋势,上行趋势,25.4,32.7,24.8,,强共振_上升,True,False,混合,0,1,0,1,0,0,0,0,0,0,0,0,False,False,False,0,高9,高9,高9,,True,False,,,减仓,减仓,持股(警戒),,趋势+第2次顶结构→减仓,趋势+第2次顶结构→减仓,趋势+高9→警戒,,持股,观望,主板:五指数强共振_上升(5多0空) 科技:KC=观望→观望+双创混合(降档)
2019-02-22,8651.196,2804.226,1456.299,,上行趋势,上行趋势,上行趋势,,上行趋势,上行趋势,26.4,32.9,26.4,,强共振_上升,True,False,混合,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,0,高9,高9,高9,,True,False,,,减仓,减仓,持股(警戒),,趋势+第2次顶结构→减仓,趋势+第2次顶结构→减仓,趋势+高9→警戒,,持股,观望,主板:五指数强共振_上升(5多0空) 科技:KC=观望→观望+双创混合(降档)
